Destination,Hop,Delay (ms)
erbakan.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),13.725
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),9.447
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),40.149
erbakan.edu.tr,172.67.69.193 (172.67.69.193),15.941
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),3.343
erbakan.edu.tr,V12.bbrouter (192.168.1.1),9.489
erbakan.edu.tr,172.17.1.250 (172.17.1.250),14.591
erbakan.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),19.655
erbakan.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),6.487
erbakan.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),20.695
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),7.75
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),4.385
erbakan.edu.tr,172.67.69.193 (172.67.69.193),64.436
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),0.321
erbakan.edu.tr,V12.bbrouter (192.168.1.1),6.301
erbakan.edu.tr,172.17.1.250 (172.17.1.250),12.451
erbakan.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),13.45
erbakan.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),16.341
erbakan.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),11.828
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),12.284
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),12.055
erbakan.edu.tr,172.67.69.193 (172.67.69.193),14.768
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),5.701
erbakan.edu.tr,V12.bbrouter (192.168.1.1),1.22
erbakan.edu.tr,172.17.1.250 (172.17.1.250),8.963
erbakan.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),6.371
erbakan.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),9.749
erbakan.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),16.567
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),1.863
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),6.514
erbakan.edu.tr,172.67.69.193 (172.67.69.193),12.742
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),0.732
erbakan.edu.tr,V12.bbrouter (192.168.1.1),13.573
erbakan.edu.tr,172.17.1.250 (172.17.1.250),9.153
erbakan.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),14.585
erbakan.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),9.232
erbakan.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),13.771
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),12.311
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),13.401
erbakan.edu.tr,172.67.69.193 (172.67.69.193),9.212
,,
uzh.ch,Abdullah-Laptop (172.30.144.1),3.196
uzh.ch,V12.bbrouter (192.168.1.1),8.062
uzh.ch,172.17.1.250 (172.17.1.250),15.975
uzh.ch,225.100.146.159.srv.turk.net (159.146.100.225),10.943
uzh.ch,226.100.146.159.srv.turk.net (159.146.100.226),10.31
uzh.ch,229.100.146.159.srv.turk.net (159.146.100.229),16.534
uzh.ch,* esks-mrkz-tto-Gi0-0-1-298.turk.net (212.154.122.242),11.498
uzh.ch,34-acibadem-xrs-t2-1---34-acibadem-sr12e-t3-8.statik.turktelekom.com.tr (81.212.216.50),17.561
uzh.ch,301-fra-col-2---34-ebgp-acibadem-sr12e-k.statik.turktelekom.com.tr (212.156.101.230),63.245
uzh.ch,* * ffm-b16-link.ip.twelve99.net (62.115.38.34),49.027
uzh.ch,SWITCH.ear2.Frankfurt1.Level3.net (213.19.204.142),51.678
uzh.ch,213.248.79.190 (213.248.79.190),52.214
uzh.ch,swiTO1-100GE-0-0-1-0.switch.ch (130.59.36.106),53.497
uzh.ch,swiPS2-100GE-0-0-1-4.switch.ch (130.59.37.58),49.535
uzh.ch,swiZH3-100GE-0-0-0-2.switch.ch (130.59.36.170),52.134
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),53.758
,,
uzh.ch,Abdullah-Laptop (172.30.144.1),1.956
uzh.ch,V12.bbrouter (192.168.1.1),4.883
uzh.ch,172.17.1.250 (172.17.1.250),12.203
uzh.ch,225.100.146.159.srv.turk.net (159.146.100.225),13.74
uzh.ch,226.100.146.159.srv.turk.net (159.146.100.226),12.852
uzh.ch,229.100.146.159.srv.turk.net (159.146.100.229),17.371
uzh.ch,esks-mrkz-tto-Gi0-0-1-298.turk.net (212.154.122.242),7.226
uzh.ch,34-acibadem-xrs-t2-2---34-acibadem-sr12e-t3-8.statik.turktelekom.com.tr (81.212.216.12),24.662
uzh.ch,301-fra-col-2---34-ebgp-acibadem-sr12e-k.statik.turktelekom.com.tr (212.156.101.230),149.987
uzh.ch,ffm-b16-link.ip.twelve99.net (62.115.38.34),137.709
uzh.ch,SWITCH.ear2.Frankfurt1.Level3.net (213.19.204.142),123.88
uzh.ch,213.248.79.190 (213.248.79.190),95.912
uzh.ch,swiPS1-100GE-0-0-1-3.switch.ch (130.59.37.190),101.569
